город	школа
 Bucharest;	 
 Notru, Gory;	 National George Cosbuc College;
 Madrid;	 Colegio Aleman de Madrid;
 Celje;	 
 Toronto;	 Marc Garneau Collegiate institute;
 Adra(Almeria);	 iES Abdera;
 Лития;	 
 Toronto;	 St. Andrews Junior High School;
 Jerusalem;	 Leyada;
 Jerusalem;	 Leyada;
 Rehovot;	 De Shalit B;
 Любляна;	 
 София;	 
 Toronto;	 Marc Garneau Collegiate institute;
 Жалец;	 
 Toronto;	 J B Tyrrell Senior Public School;
 Ljubljana;	 
 Бейт-Шемеш;	 Himmelfarb;
 Toronto;	 Marc Garneau Collegiate institute;
 Shumen;	 
 Turnisce;	 
 Крань;	 
 	 
 Марибор;	 
 г. Каунас;	 
 irvine;	 University High school;
 Toronto;	 J. B. Tyrell Senior Public School;
 San Jose;	 Lybrook High School;
 Ljubljana;	 
 Toronto;	 Forest Hill Junior and Senior Public School;
 Vojnik;	 
 Trzin;	 
 Гореньска;	 
 Любляна;	 
 Turnisce;	 
 Ljubljana;Любляна;	 
 г. Каунас;	 
 Jerusalim;	 Leyada;
 Smarje pri Jelsah;	 
 Любляна;	 
 	 
 	 
 Веленье;	 
 Врхника;	 
 Санкт-Петербург;	 
 Птуй;	 
 Toronto;	 Albert Campbell Collegiate institute;
 Toronto;	 Tomken Road Middle School;
 Кюстендил;	 
 Есенице;	 
 Guayaquil;	 
 irvine;	 Vista Verde School;
 Drobeta-Turnu-Severin;	 Traian national college;
 	 
 Kirkland;	 international Community School;
 	 
 Smarje pri Jelsah;	 
 Bucharest;	 
 Celje;	 
 Целе;	 
 София;	 
 Логатец;	 
 Moste pri Komendi;	 
 Ljubljana;	 
 Любляна;	 
 Ljubljana;	 
 Любляна;	 
 Ljubljana;	 
 Toronto;	 Richmond Hill High School;
 	 
 Drobeta Turnu Severin;	 CNTraian;
 Smarje pri Jelsah;	 
 Tbilisi;	 
 	 
 Ниш;	 
 Ниш;	 
 Celje;	 
 София;	 
 Sevilla;	 Santa Joaquina de Vedruna;
 Turnisce;	 
 Турнище;	 
 Zg. Stranje;	 
 Toronto;	 University of Toronto Schools;
 Toronto;	 Don Mills Collegiate institute;
 Smarje pri Jelsah;	 
 	 
 	 
 Москва;	 СУНЦ;СУНЦ МГУ;
 Москва;	 СУНЦ;СУНЦ МГУ;
 	 
 	 
 	 
 	 
 	 
 	 
 Белорецк ;	 8;
 	 
 Ставрополь;	 МАОУ лицей №17;
 	 
  Казань;	 
 Санкт-Петербург;	 ГБОУ «Президентский ФМЛ №239»;
 Москва ;	 СУНЦ МГУ им. М.В. Ломоносова;   СУНЦ МГУ;
 	 
 	 
 2086;Москва;	 ГБОУ СОШ № 2086;
 Саратов;	 МАОУ "Физико-технический Лицей №1";
 	 
 Железногорск (Красноярский край);	 МКОУ Гимназия №91 им. М.В. Ломоносова;
 г. Похвистнево;	 ГБОУ Гимназия № 1;
 Москва;	 26;
 Челябинск;	 МБОУ ФМЛ №31 г.Челябинска;
 Троицк;	 МАОУ Гимназия г. Троицка;
 	 
Санкт-Петербург	ФМЛ №30
 Казань;	 Гимназия №122;
 	 
 Владимир;	 Промышленно-коммерческий лицей;
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 Рязань;	 
 	 
 	 
 СУНЦ МГУ;г. Москва;	 СУНЦ МГУ;
 г. Москва;	 ГБОУ ЦО №57 <<Пятьдесят седьмая школа>>;
 	 
 171;	 54;
 	 
 Челябинск;	 МАОУ Лицей №97;
 	 СУНЦ МГУ;СУНЦ МГУ им. М.В. Ломоносова;
 15;	 
 	 
 	 
 Дубна;	 6;
 	 
 	 
 Чебоксары;	 
 Саранск;	 ГБНОУ РМ «Республиканский лицей для одарённых детей»;
 	 
 	 
 	 
 Саратов;	 МАОУ "Физико-технический Лицей №1";
 	 
 Санкт-Петербург;	 ФМЛ №239;ГБОУ «Президентский ФМЛ №239»;Санкт-Петербургская классическая гимназия №610;
 	 
 Саратов;	 Физико-технический Лицей №1;
 	 
 57;Москва;	 57;ГБОУ ЦО №57;
 	 
