город;	школа;
 Bucharest;	
 Notru, Gory;	National George Cosbuc College;
 Madrid;	Colegio Aleman de Madrid;
 Celje;	
 Toronto;	Marc Garneau Collegiate institute;
 Adra(Almeria);	iES Abdera;
 Лития;	
 Toronto;	St. Andrews Junior High School;
 Jerusalem;	Leyada;
 Jerusalem;	Leyada;
 Rehovot;	De Shalit B;
 Любляна;	
 София;	
 Toronto;	Marc Garneau Collegiate institute;
 Жалец;	
 Toronto;	J B Tyrrell Senior Public School;
 Ljubljana;	
 Бейт-Шемеш;	Himmelfarb;
 Toronto;	Marc Garneau Collegiate institute;
 Shumen;	
 Turnisce;	
 Крань;	
	
 Марибор;	
 г. Каунас;	
 irvine;	University High school;
 Toronto;	J. B. Tyrell Senior Public School;
 San Jose;	Lybrook High School;
 Ljubljana;	
 Toronto;	Forest Hill Junior and Senior Public School;
 Vojnik;	
 Trzin;	
 Гореньска;	
 Любляна;	
 Turnisce;	
 Ljubljana;Любляна;	
 г. Каунас;	
 Jerusalim;	Leyada;
 Smarje pri Jelsah;	
 Любляна;	
	
	
 Веленье;	
 Врхника;	
 Санкт-Петербург;	
 Птуй;	
 Toronto;	Albert Campbell Collegiate institute;
 Toronto;	Tomken Road Middle School;
 Кюстендил;	
 Есенице;	
 Guayaquil;	
 irvine;	Vista Verde School;
 Drobeta-Turnu-Severin;	Traian national college;
	
 Kirkland;	international Community School;
	
 Smarje pri Jelsah;	
 Bucharest;	
 Celje;	
 Целе;	
 София;	
 Логатец;	
 Moste pri Komendi;	
 Ljubljana;	
 Любляна;	
 Ljubljana;	
 Любляна;	
 Ljubljana;	
 Toronto;	Richmond Hill High School;
	
 Drobeta Turnu Severin;	CNTraian;
 Smarje pri Jelsah;	
 Tbilisi;	
	
 Ниш;	
 Ниш;	
 Celje;	
 София;	
 Sevilla;	Santa Joaquina de Vedruna;
 Turnisce;	
 Турнище;	
 Zg. Stranje;	
 Toronto;	University of Toronto Schools;
 Toronto;	Don Mills Collegiate institute;
 Smarje pri Jelsah;	
	
	
 Москва;	СУНЦ;СУНЦ МГУ;
 Москва;	СУНЦ;СУНЦ МГУ;
	
	
	
	
	
	
 Белорецк ;	8;
	
 Ставрополь;	лицей 17;
	
  Казань;	
 Санкт-Петербург;	лицей 239;
 Москва ;	СУНЦ МГУ им. М.В. Ломоносова;СУНЦ МГУ;
	
	
 Москва;	школа 2086;
 Саратов;	лицей 1;
	
 Железногорск (Красноярский край);	гимназия 91;
 г. Похвистнево;	гимназия 1;
 Москва;	26;
 Челябинск;Челябинска;	лицей 31;
 Троицк; Троицка;	Гимназия г. Троицка;
	
Санкт-Петербург;	лицей 30;
 Казань;	гимназия 122;
	
 Владимир;	Промышленно-коммерческий лицей;
	
	
	
	
	
	
	
	
 Рязань;	
	
	
 СУНЦ МГУ;г. Москва;	СУНЦ МГУ;
 г. Москва;	школа ЦО 57;
	
 171;	54;
	
 Челябинск;	лицей 97;
	СУНЦ МГУ;СУНЦ МГУ им. М.В. Ломоносова;
 15;	
	
	
 Дубна;	6;
	
	
 Чебоксары;	
 Саранск;	РМ «Республиканский лицей для одарённых детей»;
	
	
	
 Саратов;	лицей 1;
	
 Санкт-Петербург;	лицей 239;гимназия 610;
	
 Саратов;	лицей 1;
	
Москва;	57;ЦО 57;
	
 Москва ;г. Москва;	2;лицей "Вторая школа";
 Москва;	1329;
 п. Малино;	Малинская СОШ;
	
	
 Саранск ;	РЛЦОД;РЛДОД;
 Москва ;	СУНЦ МГУ;
	
 Курчатовская школа;г. Москва;	школа 1189;
	
	57;ЦО 57;
 Пенза;	2;
 Барнаул;	гимназия 42;
 Брянск ;	1;
	
	
 Фрязино ;	1;
	школа 769;
	171;
	
	
  Долгопрудный;	лицей 5;
	
 Санкт-Петербург;	533;
	
	
 г. Москва;	лицей 1580;
 Волгоград;	лицей 2;
	
 Ижевск;	лицей 41;
 Актобе;	
 Нижний Новгород;	лицей 36;
 Казань;	гимназия 19;
 Ярославль ;	33;
 Чебоксары;	лицей 2;
	
 Гатчина;	
	
 Новосибирск;	гимназия 1;
	
